sensor starting...
IR, Red
82352, 82330
117374, 118891
117949, 119266
124422, 121362
122727, 117376
127986, 127015
135828, 140457
139700, 147781
140595, 149459
141408, 151075
142494, 153180
143148, 154250
143463, 154741
143664, 155080
143848, 155384
143919, 155552
143927, 155607
143884, 155556
143865, 155463
143981, 155470
144121, 155633
144244, 155760
144346, 155923
144419, 156032
144530, 156175
144534, 156217
144496, 156226
144466, 156239
144446, 156255
144438, 156241
144527, 156288
144522, 156327
144528, 156444
144419, 156343
144373, 156273
144368, 156150
144368, 156102
144346, 156139
144369, 156182
144394, 156235
144364, 156246
144396, 156330
144412, 156346
144409, 156333
144476, 156439
144486, 156461
144470, 156467
144484, 156477
144475, 156450
144453, 156432
144587, 156599
144622, 156593
144534, 156452
144472, 156262
144557, 156413
144469, 156361
144365, 156222
144363, 156259
144406, 156397
144334, 156315
144310, 156292
144297, 156215
144263, 156221
144256, 156232
144217, 156143
144188, 156141
144173, 156105
144183, 156141
144162, 156114
144118, 155989
144065, 155942
144089, 155948
144091, 155935
144075, 155966
144094, 155986
144079, 155979
144072, 155996
144068, 155976
144062, 155975
144080, 156023
144110, 156048
144071, 156053
144105, 156055
144091, 156060
144058, 156062
144035, 155947
144006, 155880
144001, 155862
144041, 155934
144053, 155957
144099, 156019
144213, 156133
144220, 156155
144404, 156351
144631, 156649
144666, 156759
144569, 156638
144393, 156481
144325, 156429
144408, 156531
144365, 156497
144267, 156337
144097, 156031
143966, 155880
143932, 155889
143962, 155928
143958, 155942
143946, 155953
143938, 155946
143951, 155910
143959, 155927
143965, 155938
143970, 155934
143950, 155945
143957, 155945
143939, 155960
143956, 155964
143981, 155952
143890, 155841
143844, 155705
143857, 155724
143862, 155743
143885, 155794
143903, 155840
143989, 155837
143941, 155812
143909, 155809
143911, 155822
143914, 155839
143890, 155831
143921, 155856
143931, 155872
143876, 155882
143817, 155858
143831, 155841
143785, 155720
143763, 155655
143785, 155654
143796, 155696
143809, 155725
143855, 155772
143852, 155777
143855, 155766
143857, 155750
143842, 155757
143850, 155772
143874, 155804
143883, 155825
143871, 155857
143856, 155831
143853, 155798
143861, 155816
143778, 155698
143735, 155572
143743, 155567
143726, 155607
143791, 155651
143763, 155665
143752, 155687
143764, 155675
143737, 155676
143724, 155700
143735, 155701
143739, 155712
143721, 155704
143727, 155720
143714, 155726
143721, 155735
143716, 155733
143674, 155635
143635, 155515
143646, 155451
143637, 155485
143637, 155518
143662, 155553
143669, 155585
143669, 155586
143663, 155588
143669, 155568
143681, 155538
143679, 155597
143694, 155596
143692, 155624
143668, 155608
143658, 155644
143672, 155692
143653, 155647
143624, 155583
143564, 155392
143559, 155378
143564, 155392
143576, 155415
143564, 155452
143587, 155441
143589, 155485
143603, 155484
143569, 155478
143583, 155489
143587, 155507
143617, 155514
143582, 155538
143584, 155537
143581, 155530
143586, 155533
143589, 155570
143577, 155517
143523, 155391
143476, 155279
143461, 155263
143497, 155319
143492, 155319
143514, 155369
143514, 155384
143519, 155372
143509, 155373
143512, 155384
143501, 155393
143513, 155394
143505, 155414
143523, 155436
143546, 155435
143521, 155431
143511, 155422
143527, 155455
143530, 155426
143454, 155331
143415, 155190
143373, 155170
143416, 155212
143426, 155235
143444, 155293
143447, 155307
143456, 155308
143432, 155282
143439, 155298
143443, 155300
143473, 155318
143471, 155337
143447, 155362
143489, 155375
143485, 155364
143478, 155374
143477, 155387
143482, 155396
143486, 155385
143427, 155243
143356, 155093
143379, 155109
143409, 155156
143390, 155174
143409, 155205
143419, 155232
143406, 155233
143423, 155240
143406, 155226
143428, 155231
143434, 155292
143440, 155298
143438, 155313
143448, 155332
143426, 155284
143447, 155342
143421, 155353
143449, 155356
143421, 155347
143359, 155193
143325, 155083
143319, 155103
143333, 155129
143339, 155129
143348, 155181
143353, 155200
143363, 155206
143345, 155200
143351, 155201
143355, 155241
143385, 155217
143383, 155264
143416, 155268
143395, 155277
143368, 155277
143381, 155282
143366, 155308
143381, 155308
143363, 155290
143308, 155182
143263, 155038
143272, 155023
143243, 155052
143271, 155049
143283, 155102
143270, 155128
143296, 155141
143284, 155144
143286, 155150
143318, 155154
143287, 155193
143317, 155206
143306, 155227
143280, 155208
143302, 155232
143298, 155261
143299, 155247
143295, 155271
143301, 155287
143256, 155184
143198, 155024
143175, 154977
143198, 155021
143213, 155027
143223, 155020
143230, 155094
143209, 155059
143229, 155073
143216, 155086
143222, 155085
143229, 155120
143229, 155121
143232, 155144
143244, 155201
143254, 155187
143246, 155180
143268, 155250
143261, 155210
143266, 155241
143273, 155147
143182, 154975
143148, 154888
143157, 154827
143136, 154878
143108, 154921
143128, 154970
143178, 154968
143213, 154922
143298, 154956
143421, 155026
143466, 154786
143233, 153276
143316, 152391
143071, 151450
142987, 151545
142856, 151799
142557, 151292
141941, 150072
140725, 147600
131074, 132636
138613, 126216
132096, 123945
115642, 102557
sensor stoped!
